Altium Designer Pick and Place Locations
C:\Users\Constanza\Desktop\GIT_repos\iowlabs_repos\2020_05_26-FluOpti\3 - Hardware\FOdriver_V2.0\Project Outputs for FOdriver_V2.0\Pick Place for PCBV2.csv

========================================================================================================================
File Design Information:

Date:       06-04-21
Time:       07:41
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C30","Cap Semi","TopLayer","1608[0603]","3132.419","6285.140","270","Capacitor (Semiconductor SIM Model)"
"L3","Inductor","TopLayer","IND-SMD_L12.3-W12.3","3030.512","8466.733","0","Inductor SMD"
"U10","TCA9517A","TopLayer","VSSOP_-_8","3285.000","6175.000","270","VSSOP-8_3x3x065P Level Translators, Shifters RoHS"
"R63","Res3","TopLayer","J1-0603","2590.000","7700.000","90","Resistor"
"ON","Generic LED","TopLayer","LED0603","2510.000","7705.000","90","Generic LED SMD"
"R62","Res3","TopLayer","J1-0603","2455.000","6600.000","90","Resistor"
"R61","Res3","TopLayer","J1-0603","4080.000","8095.000","90","Resistor"
"5V","Generic LED","TopLayer","LED0603","2385.000","6600.000","90","Generic LED SMD"
"3V3","Generic LED","TopLayer","LED0603","3990.000","8095.000","90","Generic LED SMD"
"S3","Generic Header 3x1","TopLayer","CONN-TH_A2547WV-3P","4941.890","5851.418","360","Generic Header 3pos, 1 row, 2.54 pitch"
"L1","Inductor","TopLayer","IND-SMD_L12.5-W12.5_SMDRS1275","3160.276","7280.630","360","Inductor SMD"
"RG4","Power connector 2x1","TopLayer","CONN-TH_430450212","5625.000","8877.126","90","Generic Header Power 2pos"
"U8","PCA9685","TopLayer","SSOP-28_L","4429.744","10076.792","0","LED Drivers,16CH, I2C, TSSOP-28"
"U6","ULN2803A","TopLayer","SOIC18","4436.772","9416.221","270","Darlington transistor array driver SOIC-18_300mi"
"SJ1","sj","TopLayer","SJ2","3933.898","5852.717","180","solder jumper generic"
"C22_1","Cap Semi","TopLayer","1608[0603]","4172.677","7309.685","180","Capacitor (Semiconductor SIM Model)"
"L2","Inductor","TopLayer","IND-SMD_L8.0-W8.0","2782.363","11064.843","360","Inductor SMD"
"R10","Res3","TopLayer","J1-0603","3389.921","7855.827","360","Resistor"
"R9","Res3","TopLayer","J1-0603","3389.921","7934.567","0","Resistor"
"R8","Res3","TopLayer","J1-0603","3389.921","8013.308","0","Resistor"
"R7","Res3","TopLayer","J1-0603","3389.921","8092.048","180","Resistor"
"U9","LM2596-5V","TopLayer","TO-263-5","3449.252","6795.591","180","Step-Down Positive Fixed 1 3A 150kHz TO-263-5 DC-DC Converters RoHS"
"U5","XL6008","TopLayer","TO-252-5","2982.323","9209.803","270","DC-DC Converters Step-Up, Step-Up/Step-Down Adjustable 1 3.6V 32V 3A TO-252-5 RoHS"
"U4","XL6008","TopLayer","TO-252-5","3000.157","8052.678","270","DC-DC Converters Step-Up, Step-Up/Step-Down Adjustable 1 3.6V 32V 3A TO-252-5 RoHS"
"U2","AP2112K-3.3TRG1","TopLayer","SOT25-5","4232.598","7807.244","0","600mA CMOS LDO REGULATOR WITH ENABLE"
"U1_4","OPA2333AIDGKR","TopLayer","MSOP-8","5610.275","6925.236","360","Precision OpAmps Zero-Drift 2 1.8V ~ 5.5V, ±0.9V ~ 2.75V 350kHz 0.16 V/us MSOP-8 RoHS"
"U1_3","OPA2333AIDGKR","TopLayer","MSOP-8","5113.386","6865.906","360","Precision OpAmps Zero-Drift 2 1.8V ~ 5.5V, ±0.9V ~ 2.75V 350kHz 0.16 V/us MSOP-8 RoHS"
"U1_2","OPA2333AIDGKR","TopLayer","MSOP-8","4665.078","6881.929","360","Precision OpAmps Zero-Drift 2 1.8V ~ 5.5V, ±0.9V ~ 2.75V 350kHz 0.16 V/us MSOP-8 RoHS"
"U1_1","OPA2333AIDGKR","TopLayer","MSOP-8","4190.551","6831.614","360","Precision OpAmps Zero-Drift 2 1.8V ~ 5.5V, ±0.9V ~ 2.75V 350kHz 0.16 V/us MSOP-8 RoHS"
"ID-ADC","sj","TopLayer","SJ2","4912.559","7877.192","360","solder jumper generic"
"SJ8_4","sj","TopLayer","SJ2","5720.000","7315.000","270","solder jumper generic"
"SJ8_3","sj","TopLayer","SJ2","5225.000","7275.000","270","solder jumper generic"
"SJ8_2","sj","TopLayer","SJ2","4770.000","7320.000","270","solder jumper generic"
"SJ8_1","sj","TopLayer","SJ2","4275.000","7280.000","270","solder jumper generic"
"SJ7_4","sj","TopLayer","SJ2","5492.165","6885.866","360","solder jumper generic"
"SJ7_3","sj","TopLayer","SJ2","4998.346","6836.614","360","solder jumper generic"
"SJ7_2","sj","TopLayer","SJ2","4551.299","6851.181","360","solder jumper generic"
"SJ7_1","sj","TopLayer","SJ2","4072.441","6792.244","360","solder jumper generic"
"SJ6_4","sj","TopLayer","SJ2","5708.700","6689.016","360","solder jumper generic"
"SJ6_3","sj","TopLayer","SJ2","5214.882","6639.764","360","solder jumper generic"
"SJ6_2","sj","TopLayer","SJ2","4767.834","6654.331","360","solder jumper generic"
"SJ6_1","sj","TopLayer","SJ2","4288.976","6615.079","360","solder jumper generic"
"ID-PWM","sj","TopLayer","SJ2","4440.453","10348.721","360","solder jumper generic"
"SJ4","sj","TopLayer","SJ2","5425.827","5737.599","360","solder jumper generic"
"SJ3","sj","TopLayer","SJ2","5315.905","5851.418","180","solder jumper generic"
"SJ2","sj","TopLayer","SJ2","4041.496","5729.213","360","solder jumper generic"
"R60","Res3","TopLayer","J1-0603","5295.708","7681.575","360","Resistor"
"R59","Res3","TopLayer","J1-0603","5295.708","7760.315","360","Resistor"
"R58","Res3","TopLayer","J1-0603","4902.008","7676.575","360","Resistor"
"R57","Res3","TopLayer","J1-0603","4902.008","7760.315","360","Resistor"
"R56","Res3","TopLayer","J1-0603","5315.393","7903.425","90","Resistor"
"R55","Res3","TopLayer","J1-0603","5256.338","7903.425","90","Resistor"
"R54","Res3","TopLayer","J1-0603","5059.488","7898.110","270","Resistor"
"R53","Res3","TopLayer","J1-0603","4830.866","7872.980","90","Resistor"
"R52","Res3","TopLayer","J1-0603","5000.433","7898.110","270","Resistor"
"R51_4","Res3","TopLayer","J1-0603","5629.960","6708.701","90","Resistor"
"R51_3","Res3","TopLayer","J1-0603","5133.701","6662.480","90","Resistor"
"R51_2","Res3","TopLayer","J1-0603","4684.094","6669.016","90","Resistor"
"R51_1","Res3","TopLayer","J1-0603","4200.000","6629.528","90","Resistor"
"R50_4","Res3","TopLayer","J1-0603","5374.055","6767.756","360","Resistor"
"R50_3","Res3","TopLayer","J1-0603","4880.236","6718.504","360","Resistor"
"R50_2","Res3","TopLayer","J1-0603","4433.188","6733.071","360","Resistor"
"R50_1","Res3","TopLayer","J1-0603","3954.331","6674.134","360","Resistor"
"R49_4","Res3","TopLayer","J1-0603","5570.905","7102.402","180","Resistor"
